"version","version_season","season_name","season","episode","castaway","castaway_id","confessional_count"
"US","US04","Survivor: Marquesas",4,2,"Boston Rob","US0055",4
"US","US04","Survivor: Marquesas",4,2,"Gabriel","US0053",3
"US","US04","Survivor: Marquesas",4,2,"Gina","US0054",4
"US","US04","Survivor: Marquesas",4,2,"Hunter","US0051",5
"US","US04","Survivor: Marquesas",4,2,"John","US0056",6
"US","US04","Survivor: Marquesas",4,2,"Kathy","US0062",4
"US","US04","Survivor: Marquesas",4,2,"Neleh","US0063",2
"US","US04","Survivor: Marquesas",4,2,"Paschal","US0061",1
"US","US04","Survivor: Marquesas",4,2,"Patricia","US0050",2
"US","US04","Survivor: Marquesas",4,2,"Robert","US0059",1
"US","US04","Survivor: Marquesas",4,2,"Sarah","US0052",2
"US","US04","Survivor: Marquesas",4,2,"Sean","US0060",4
"US","US04","Survivor: Marquesas",4,2,"Tammy","US0058",2
"US","US04","Survivor: Marquesas",4,2,"Vecepia","US0064",4
"US","US04","Survivor: Marquesas",4,2,"Zoe","US0057",0
"US","US04","Survivor: Marquesas",4,3,"Boston Rob","US0055",3
